real, image
-0.568182, -0.181818
-0.568182, -0.136364
-0.568182, -0.090909
-0.568182, -0.045455
-0.568182, -0.000000
-0.568182, 0.045455
-0.568182, 0.090909
-0.568182, 0.136364
-0.568182, 0.181818
-0.568182, 0.227273
-0.568182, 0.272727
-0.568182, 0.318182
-0.568182, 0.363636
-0.568182, 0.409091
-0.568182, 0.454545
-0.554545, -0.454545
-0.554545, -0.409091
-0.554545, -0.363636
-0.554545, -0.318182
-0.554545, -0.272727
-0.554545, -0.227273
-0.554545, -0.181818
-0.554545, -0.136364
-0.554545, -0.090909
-0.554545, -0.045455
-0.554545, -0.000000
-0.554545, 0.045455
-0.554545, 0.090909
-0.554545, 0.136364
-0.554545, 0.181818
-0.554545, 0.227273
-0.554545, 0.272727
-0.554545, 0.318182
-0.554545, 0.363636
-0.554545, 0.409091
-0.554545, 0.454545
-0.540909, -0.454545
-0.540909, -0.409091
-0.540909, -0.363636
-0.540909, -0.318182
-0.540909, -0.272727
-0.540909, -0.227273
-0.540909, -0.181818
-0.540909, -0.136364
-0.540909, -0.090909
-0.540909, -0.045455
-0.540909, -0.000000
-0.540909, 0.045455
-0.540909, 0.090909
-0.540909, 0.136364
-0.540909, 0.181818
-0.540909, 0.227273
-0.540909, 0.272727
-0.540909, 0.318182
-0.540909, 0.363636
-0.540909, 0.409091
-0.540909, 0.454545
-0.527273, -0.590909
-0.527273, -0.545455
-0.527273, -0.500000
-0.527273, -0.454545
-0.527273, -0.409091
-0.527273, -0.363636
-0.527273, -0.318182
-0.527273, -0.272727
-0.527273, -0.227273
-0.527273, -0.181818
-0.527273, -0.136364
-0.527273, -0.090909
-0.527273, -0.045455
-0.527273, -0.000000
-0.527273, 0.045455
-0.527273, 0.090909
-0.527273, 0.136364
-0.527273, 0.181818
-0.527273, 0.227273
-0.527273, 0.272727
-0.527273, 0.318182
-0.527273, 0.363636
-0.527273, 0.409091
-0.527273, 0.454545
-0.527273, 0.500000
-0.527273, 0.545455
-0.527273, 0.590909
-0.513636, -0.590909
-0.513636, -0.545455
-0.513636, -0.500000
-0.513636, -0.454545
-0.513636, -0.409091
-0.513636, -0.363636
-0.513636, -0.318182
-0.513636, -0.272727
-0.513636, -0.227273
-0.513636, -0.181818
-0.513636, -0.136364
-0.513636, -0.090909
-0.513636, -0.045455
-0.513636, -0.000000
-0.513636, 0.045455
-0.513636, 0.090909
-0.513636, 0.136364
-0.513636, 0.181818
-0.513636, 0.227273
-0.513636, 0.272727
-0.513636, 0.318182
-0.513636, 0.363636
-0.513636, 0.409091
-0.513636, 0.454545
-0.513636, 0.500000
-0.513636, 0.545455
-0.513636, 0.590909
-0.500000, -0.590909
-0.500000, -0.545455
-0.500000, -0.500000
-0.500000, -0.454545
-0.500000, -0.409091
-0.500000, -0.363636
-0.500000, -0.318182
-0.500000, -0.272727
-0.500000, -0.227273
-0.500000, -0.181818
-0.500000, -0.136364
-0.500000, -0.090909
-0.500000, -0.045455
-0.500000, -0.000000
-0.500000, 0.045455
-0.500000, 0.090909
-0.500000, 0.136364
-0.500000, 0.181818
-0.500000, 0.227273
-0.500000, 0.272727
-0.500000, 0.318182
-0.500000, 0.363636
-0.500000, 0.409091
-0.500000, 0.454545
-0.500000, 0.500000
-0.500000, 0.545455
-0.500000, 0.590909
-0.486364, -0.590909
-0.486364, -0.545455
-0.486364, -0.500000
-0.486364, -0.454545
-0.486364, -0.409091
-0.486364, -0.363636
-0.486364, -0.318182
-0.486364, -0.272727
-0.486364, -0.227273
-0.486364, -0.181818
-0.486364, -0.136364
-0.486364, -0.090909
-0.486364, -0.045455
-0.486364, -0.000000
-0.486364, 0.045455
-0.486364, 0.090909
-0.486364, 0.136364
-0.486364, 0.181818
-0.486364, 0.227273
-0.486364, 0.272727
-0.486364, 0.318182
-0.486364, 0.363636
-0.486364, 0.409091
-0.486364, 0.454545
-0.486364, 0.500000
-0.486364, 0.545455
-0.486364, 0.590909
-0.472727, -0.545455
-0.472727, -0.500000
-0.472727, -0.454545
-0.472727, -0.409091
-0.472727, -0.363636
-0.472727, -0.318182
-0.472727, -0.272727
-0.472727, -0.227273
-0.472727, -0.181818
-0.472727, -0.136364
-0.472727, -0.090909
-0.472727, -0.045455
